model,epoch,shallow_water,com_ns,incom_ns,incom_ns_arena,cfdbench,incom_ns_arena_u
prose,62,0.211,3.770,7.702,11.608,0.213,9.452
prose,63,0.211,3.765,7.666,11.599,0.225,9.421
prose,64,0.207,3.767,7.634,11.556,0.224,9.385
prose,65,0.206,3.771,7.615,11.532,0.207,9.363
prose,66,0.207,3.776,7.626,11.511,0.210,9.347
prose,67,0.206,3.773,7.572,11.494,0.204,9.320
prose,68,0.206,3.769,7.560,11.489,0.204,9.318
prose,69,0.204,3.765,7.538,11.458,0.202,9.296
prose,70,0.204,3.771,7.524,11.449,0.201,9.285
prose,71,0.204,3.774,7.519,11.447,0.201,9.280
prose,72,0.204,3.771,7.506,11.440,0.200,9.278
prose,73,0.204,3.768,7.499,11.436,0.199,9.272
prose,74,0.203,3.771,7.491,11.426,0.199,9.257
prose,75,0.204,3.771,7.492,11.420,0.197,9.256
prose,76,0.203,3.770,7.489,11.423,0.197,9.258
prose,77,0.203,3.770,7.485,11.420,0.197,9.255
prose,78,0.203,3.770,7.483,11.421,0.197,9.254
prose,79,0.203,3.770,7.483,11.420,0.197,9.254
